MINISTERIO DE EDUCACION NACIONAL;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2016;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: 15 de mayo de 2017;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las instituciones a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Servicios;Profesional;Directivo;Total
2904;2904;ESCUELA SUPERIOR DE GUERRA GENERAL RAFAEL REYES PRIETO;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;131;159;283;6;579
2906;2906;ESCUELA DE POSTGRADOS DE LA FUERZA AEREA COLOMBIANA CAPITAN JOSE EDMUNDO SANDOVAL - EPFAC;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;26;0;33;6;65
3102;3102;INSTITUTO SUPERIOR DE EDUCACION RURAL-ISER-;PRINCIPAL;1;Oficial;2;Institución Tecnológica;54;Norte de Santander;54518;Pamplona;2016;1;4;16;64;4;88
3103;3103;COLEGIO MAYOR DE BOLIVAR;PRINCIPAL;1;Oficial;2;Institución Tecnológica;13;Bolivar;13001;Cartagena;2016;1;25;12;61;3;101
3104;3104;COLEGIO MAYOR DEL CAUCA;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;19;Cauca;19001;Popayán;2016;1;18;4;9;12;43
3107;3107;INSTITUCIÓN UNIVERSITARIA PASCUAL BRAVO;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;5;Antioquia;5001;Medellín;2016;1;61;21;18;16;116
3114;3114;ESCUELA NAVAL DE SUBOFICIALES ARC BARRANQUILLA;PRINCIPAL;1;Oficial;2;Institución Tecnológica;8;Atlántico;8001;Barranquilla;2016;1;73;146;45;4;268
3201;3201;UNIDADES TECNOLOGICAS DE SANTANDER;PRINCIPAL;1;Oficial;2;Institución Tecnológica;68;Santander;68001;Bucaramanga;2016;1;291;122;231;21;665
3204;3204;TECNOLOGICO DE ANTIOQUIA;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;5;Antioquia;5001;Medellín;2016;1;40;2;23;14;79
3301;3301;INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;76;Valle del Cauca;76001;Cali;2016;1;70;45;108;39;262
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;5;Antioquia;5001;Medellín;2016;1;56;15;76;1;148
3303;3303;ESCUELA SUPERIOR TECNOLOGICA DE ARTES DEBORA ARANGO;PRINCIPAL;1;Oficial;2;Institución Tecnológica;5;Antioquia;5266;Envigado;2016;1;8;8;14;6;36
4101;4101;INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO;PRINCIPAL;1;Oficial;1;Institución Técnica Profesional;76;Valle del Cauca;76622;Roldanillo;2016;1;33;3;9;2;47
4112;4112;COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS - IES CINOC;PRINCIPAL;1;Oficial;1;Institución Técnica Profesional;17;Caldas;17541;Pensilvania;2016;1;8;2;4;3;17
9102;9102;ESCUELA DE SUBOFICIALES DE LA FUERZA AEREA COLOMBIANA ANDRES M. DIAZ;PRINCIPAL;1;Oficial;2;Institución Tecnológica;25;Cundinamarca;25430;Madrid;2016;1;92;37;79;8;216
9103;9103;ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;76;Valle del Cauca;76001;Cali;2016;1;19;4;41;10;74
9104;9104;ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOVA;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;37;8;41;14;100
9105;9105;ESCUELA NAVAL DE CADETES ALMIRANTE PADILLA;PRINCIPAL;1;Oficial;4;Universidad;13;Bolivar;13001;Cartagena;2016;1;202;12;38;6;258
9107;9107;ESCUELA DE INGENIEROS MILITARES;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;37;7;44;5;93
9125;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;Oficial;4;Universidad;5;Antioquia;5042;Santa Fe de Antioquia;2016;1;1;0;1;1;3
1105;1105;UNIVERSIDAD PEDAGOGICA NACIONAL;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;332;69;97;37;535
1106;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;PRINCIPAL;1;Oficial;4;Universidad;15;Boyacá;15001;Tunja;2016;1;185;135;119;16;455
1107;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;SECCIONAL;1;Oficial;4;Universidad;15;Boyacá;15238;Duitama;2016;1;24;17;7;1;49
1108;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;SECCIONAL;1;Oficial;4;Universidad;15;Boyacá;15759;Sogamoso;2016;1;21;15;7;0;43
1109;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;SECCIONAL;1;Oficial;4;Universidad;15;Boyacá;15176;Chiquinquirá;2016;1;7;2;3;1;13
1110;1110;UNIVERSIDAD DEL CAUCA;PRINCIPAL;1;Oficial;4;Universidad;19;Cauca;19001;Popayán;2016;1;279;158;95;26;558
1111;1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;PRINCIPAL;1;Oficial;4;Universidad;66;Risaralda;66001;Pereira;2016;1;255;20;104;27;406
1117;1117;UNIVERSIDAD MILITAR-NUEVA GRANADA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;24;428;152;25;629
1119;1119;UNIVERSIDAD DE LOS LLANOS;PRINCIPAL;1;Oficial;4;Universidad;50;Meta;50001;Villavicencio;2016;1;74;0;21;13;108
1120;1120;UNIVERSIDAD POPULAR DEL CESAR;PRINCIPAL;1;Oficial;4;Universidad;20;Cesar;20001;Valledupar;2016;1;101;33;65;36;235
1201;1201;UNIVERSIDAD DE ANTIOQUIA;PRINCIPAL;1;Oficial;4;Universidad;5;Antioquia;5001;Medellín;2016;1;835;143;564;183;1725
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;Oficial;4;Universidad;8;Atlántico;8001;Barranquilla;2016;1;83;43;85;40;251
1203;1203;UNIVERSIDAD DEL VALLE;PRINCIPAL;1;Oficial;4;Universidad;76;Valle del Cauca;76001;Cali;2016;1;468;499;339;5;1311
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;PRINCIPAL;1;Oficial;4;Universidad;68;Santander;68001;Bucaramanga;2016;1;471;165;475;96;1207
1205;1205;UNIVERSIDAD DE CARTAGENA;PRINCIPAL;1;Oficial;4;Universidad;13;Bolivar;13001;Cartagena;2016;1;390;171;165;125;851
1206;1206;UNIVERSIDAD DE NARIÑO;PRINCIPAL;1;Oficial;4;Universidad;52;Nariño;52001;Pasto;2016;1;411;82;150;41;684
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;PRINCIPAL;1;Oficial;4;Universidad;54;Norte de Santander;54001;Cúcuta;2016;1;160;41;123;14;338
1210;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;SECCIONAL;1;Oficial;4;Universidad;54;Norte de Santander;54498;Ocaña;2016;1;72;52;283;10;417
1212;1212;UNIVERSIDAD DE PAMPLONA;PRINCIPAL;1;Oficial;4;Universidad;54;Norte de Santander;54518;Pamplona;2016;1;203;3;67;46;319
1213;1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;PRINCIPAL;1;Oficial;4;Universidad;47;Magdalena;47001;Santa Marta;2016;1;1;112;91;56;260
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;PRINCIPAL;1;Oficial;4;Universidad;25;Cundinamarca;25290;Fusagasuga;2016;1;208;86;83;38;415
1215;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;Oficial;4;Universidad;25;Cundinamarca;25307;Girardot;2016;1;33;18;6;3;60
1216;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;Oficial;4;Universidad;25;Cundinamarca;25843;Ubaté;2016;1;12;10;5;1;28
1218;1218;UNIVERSIDAD DE LA GUAJIRA;PRINCIPAL;1;Oficial;4;Universidad;44;Guajira;44001;Riohacha;2016;1;58;24;63;16;161
1219;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;Oficial;4;Universidad;5;Antioquia;5148;Carmen de Viboral;2016;1;5;0;2;1;8
1220;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;Oficial;4;Universidad;5;Antioquia;5034;Andes;2016;1;1;0;0;1;2
1221;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;Oficial;4;Universidad;5;Antioquia;5154;Caucasia;2016;1;3;1;2;1;7
1222;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;Oficial;4;Universidad;5;Antioquia;5579;Puerto Berrío;2016;1;1;0;1;1;3
1223;1201;UNIVERSIDAD DE ANTIOQUIA;SECCIONAL;1;Oficial;4;Universidad;5;Antioquia;5837;Turbo;2016;1;1;0;0;1;2
1301;1301;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;140;862;81;33;1116
2104;2104;ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;136;8;169;25;338
2110;2110;COLEGIO MAYOR DE ANTIOQUIA;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;5;Antioquia;5001;Medellín;2016;1;12;8;7;9;36
2114;2114;ESCUELA NACIONAL DEL DEPORTE;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;76;Valle del Cauca;76001;Cali;2016;1;15;3;27;14;59
2206;2206;INSTITUTO DEPARTAMENTAL DE BELLAS ARTES;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;76;Valle del Cauca;76001;Cali;2016;1;7;30;54;6;97
2207;2207;INSTITUTO UNIVERSITARIO DE LA PAZ;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;68;Santander;68081;Barrancabermeja;2016;1;8;8;10;14;40
2208;2208;CONSERVATORIO DEL TOLIMA;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;73;Tolima;73001;Ibagué;2016;1;4;8;3;4;19
2209;2209;POLITECNICO COLOMBIANO JAIME ISAZA CADAVID;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;5;Antioquia;5001;Medellín;2016;1;185;28;91;26;330
2211;2211;INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;13;Bolivar;13001;Cartagena;2016;1;17;2;4;15;38
2301;2301;UNIDAD CENTRAL DEL VALLE DEL CAUCA;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;76;Valle del Cauca;76834;Tulua;2016;1;66;0;19;18;103
2302;2302;INSTITUCION UNIVERSITARIA DE ENVIGADO;PRINCIPAL;1;Oficial;3;Institución Universitaria/Escuela Tecnológica;5;Antioquia;5266;Envigado;2016;1;22;15;32;29;98
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;845;150;739;35;1769
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;SECCIONAL;2;Privada;4;Universidad;76;Valle del Cauca;76001;Cali;2016;1;218;32;280;80;610
1704;1704;UNIVERSIDAD SANTO TOMAS;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;234;11;97;138;480
1705;1704;UNIVERSIDAD SANTO TOMAS;SECCIONAL;2;Privada;4;Universidad;68;Santander;68001;Bucaramanga;2016;1;105;210;88;48;451
1709;1709;UNIVERSIDAD CENTRAL;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;323;43;219;31;616
1711;1711;UNIVERSIDAD DE LA SABANA;PRINCIPAL;2;Privada;4;Universidad;25;Cundinamarca;25175;Chia;2016;1;421;254;393;87;1155
1712;1712;UNIVERSIDAD EAFIT-;PRINCIPAL;2;Privada;4;Universidad;5;Antioquia;5001;Medellín;2016;1;342;77;632;21;1072
1713;1713;UNIVERSIDAD DEL NORTE;PRINCIPAL;2;Privada;4;Universidad;8;Atlántico;8001;Barranquilla;2016;1;360;163;426;42;991
1715;1715;FUNDACION UNIVERSIDAD DE AMERICA;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;76;0;54;22;152
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;Privada;4;Universidad;76;Valle del Cauca;76001;Cali;2016;1;140;32;59;44;275
1717;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;Privada;4;Universidad;5;Antioquia;5001;Medellín;2016;1;96;33;77;25;231
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;280;0;184;27;491
1722;1722;UNIVERSIDAD DE MANIZALES;PRINCIPAL;2;Privada;4;Universidad;17;Caldas;17001;Manizales;2016;1;91;16;79;12;198
1724;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;Privada;4;Universidad;13;Bolivar;13001;Cartagena;2016;1;68;40;25;23;156
1725;1725;FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;165;121;51;53;390
1726;1726;UNIVERSIDAD CATOLICA DE ORIENTE;PRINCIPAL;2;Privada;4;Universidad;5;Antioquia;5615;Rionegro;2016;1;244;76;503;36;859
1728;1728;UNIVERSIDAD SERGIO ARBOLEDA;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;190;157;159;85;591
1729;1729;UNIVERSIDAD EL BOSQUE;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;311;29;120;0;460
1730;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;Privada;4;Universidad;76;Valle del Cauca;76520;Palmira;2016;1;19;2;10;3;34
1732;1704;UNIVERSIDAD SANTO TOMAS;SECCIONAL;2;Privada;4;Universidad;15;Boyacá;15001;Tunja;2016;1;150;103;47;39;339
1733;1728;UNIVERSIDAD SERGIO ARBOLEDA;SECCIONAL;2;Privada;4;Universidad;47;Magdalena;47001;Santa Marta;2016;1;87;46;62;21;216
1735;1735;UNIVERSIDAD MANUELA BELTRAN-UMB-;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;182;47;712;42;983
1801;1801;UNIVERSIDAD LA GRAN COLOMBIA;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;269;100;109;48;526
1802;1801;UNIVERSIDAD LA GRAN COLOMBIA;SECCIONAL;2;Privada;4;Universidad;63;Quindío;63001;Armenia;2016;1;53;6;36;12;107
1804;1804;UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA;PRINCIPAL;2;Privada;4;Universidad;8;Atlántico;8001;Barranquilla;2016;1;229;135;155;63;582
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;191;94;91;28;404
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;Privada;4;Universidad;76;Valle del Cauca;76001;Cali;2016;1;73;25;20;18;136
1809;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;Privada;4;Universidad;66;Risaralda;66001;Pereira;2016;1;59;10;13;20;102
1810;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;Privada;4;Universidad;54;Norte de Santander;54001;Cúcuta;2016;1;16;42;16;9;83
1812;1812;UNIVERSIDAD DE MEDELLIN;PRINCIPAL;2;Privada;4;Universidad;5;Antioquia;5001;Medellín;2016;1;178;25;86;37;326
1813;1813;UNIVERSIDAD DE LOS ANDES;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;569;196;566;105;1436
1814;1814;UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-;PRINCIPAL;2;Privada;4;Universidad;5;Antioquia;5001;Medellín;2016;1;54;17;82;46;199
1816;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;SECCIONAL;2;Privada;4;Universidad;5;Antioquia;5001;Medellín;2016;1;157;63;244;44;508
1817;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;SECCIONAL;2;Privada;4;Universidad;68;Santander;68001;Bucaramanga;2016;1;67;25;56;3;151
1818;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;521;200;475;28;1224
1819;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;SECCIONAL;2;Privada;4;Universidad;68;Santander;68081;Barrancabermeja;2016;1;31;8;29;1;69
1820;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;SECCIONAL;2;Privada;4;Universidad;47;Magdalena;47001;Santa Marta;2016;1;57;33;57;3;150
1823;1823;UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-;PRINCIPAL;2;Privada;4;Universidad;68;Santander;68001;Bucaramanga;2016;1;352;52;242;144;790
1825;1825;UNIVERSIDAD AUTONOMA DE MANIZALES;PRINCIPAL;2;Privada;4;Universidad;17;Caldas;17001;Manizales;2016;1;118;27;54;5;204
1827;1827;UNIVERSIDAD CATOLICA DE MANIZALES;PRINCIPAL;2;Privada;4;Universidad;17;Caldas;17001;Manizales;2016;1;87;13;48;53;201
1828;1828;UNIVERSIDAD ICESI;PRINCIPAL;2;Privada;4;Universidad;76;Valle del Cauca;76001;Cali;2016;1;277;172;72;107;628
1830;1830;UNIVERSIDAD AUTONOMA DE OCCIDENTE;PRINCIPAL;2;Privada;4;Universidad;76;Valle del Cauca;76001;Cali;2016;1;250;104;168;29;551
1831;1831;UNIVERSIDAD DE IBAGUE;PRINCIPAL;2;Privada;4;Universidad;73;Tolima;73001;Ibagué;2016;1;149;147;178;50;524
1833;1833;UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -;PRINCIPAL;2;Privada;4;Universidad;23;Córdoba;23001;Montería;2016;1;84;106;148;7;345
1834;1833;UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -;SECCIONAL;2;Privada;4;Universidad;13;Bolivar;13001;Cartagena;2016;1;131;11;40;19;201
1835;1835;UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.;PRINCIPAL;2;Privada;4;Universidad;11;Bogotá D.C;11001;Bogota;2016;1;119;72;104;39;334
2702;2702;FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD;PRINCIPAL;2;Privada;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;82;7;64;40;193
2707;2707;FUNDACION UNIVERSITARIA JUAN N. CORPAS;PRINCIPAL;2;Privada;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;30;47;122;24;223
2708;2708;UNIVERSIDAD CES;PRINCIPAL;2;Privada;4;Universidad;5;Antioquia;5001;Medellín;2016;1;181;38;166;14;399
2709;2709;FUNDACION UNIVERSITARIA SAN MARTIN;PRINCIPAL;2;Privada;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;340;0;5;3;348
2710;2710;FUNDACION UNIVERSITARIA MONSERRATE -UNIMONSERRATE;PRINCIPAL;2;Privada;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;66;19;30;33;148
2711;2711;UNIVERSIDAD CATOLICA DE PEREIRA;PRINCIPAL;2;Privada;4;Universidad;66;Risaralda;66001;Pereira;2016;1;46;20;42;7;115
2712;2712;FUNDACION UNIVERSITARIA KONRAD LORENZ;PRINCIPAL;2;Privada;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;40;13;32;52;137
2713;2713;FUNDACION UNIVERSITARIA LOS LIBERTADORES;PRINCIPAL;2;Privada;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;125;14;109;68;316
2719;2719;UNIVERSIDAD CATÓLICA LUIS AMIGÓ-FUNLAM;PRINCIPAL;2;Privada;4;Universidad;5;Antioquia;5001;Medellín;2016;1;95;53;64;49;261
2720;2720;FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS;PRINCIPAL;2;Privada;3;Institución Universitaria/Escuela Tecnológica;15;Boyacá;15001;Tunja;2016;1;57;36;41;3;137
2723;2723;FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-;PRINCIPAL;2;Privada;3;Institución Universitaria/Escuela Tecnológica;11;Bogotá D.C;11001;Bogota;2016;1;119;0;83;52;254
2724;2724;FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -;PRINCIPAL;2;Privada;3;Institución Universitaria/Escuela Tecnológica;68;Santander;68679;San Gil;2016;1;120;11;36;37;204
